,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester
,Foundations of Biology,FOB,BIO101,None,None,Winter
,Cell Biology and Bio-Chemistry,CBB,BIO211,None,None,Monsoon
,Introduction to Quantitative Biology,IQB,BIO213,MTH100,None,Winter
,Genetics and Molecular Biology,GMB,BIO214,None,None,Monsoon
,Practical Bioinformatics,PB,BIO221,None,None,Winter
,Algorithms in Bioinformatics,ABIN,BIO321,Oneprogrammingcourse,None,Monsoon
,Biophysics,BioP,BIO361,None,None,Monsoon
,Stochastic Simulations in Systems Biology and Biophysics,SSSBB,BIO506,BIO531,None,Monsoon
,Cell Biology and Bio-Chemistry,CBB,BIO511,None,BIO211,Monsoon
,Foundations of Modern Biology,FOMB,BIO512,None,"BIO601,BIO214",Monsoon
,Algorithms in Computational Biology,ACB,BIO522,None,BIO321,Monsoon
,Chemoinformatics,CHI,BIO523,None,None,Winter
,Biomedical Image processing,BIP,BIO524,None,None,Monsoon
,Introduction to Mathematical Biology,IMB,BIO531,MTH100,BIO303/BIO503,Winter
,Network Biology,NB,BIO532,None,None,Monsoon
,Systems and Synthetic Biology,S&SB,BIO533,"BIO531,BIO501",None,Winter
,Introduction to Computational Neuroscience,ICN,BIO534,None,BIO505,Winter
,Data Sciences for Genomics,DSG,BIO541,None,None,Winter
,Machine Learning for Biomedical Applications,MLBA,BIO542,None,None,Monsoon
,Big Data Mining in Healthcare,BDMH,BIO543,None,None,Winter
,Computational Gastronomy,CGAS,BIO544,None,None,Monsoon
,Biostatistics,BioStats,BIO545,None,None,Winter
,Computing for Medicine,CM,BIO546/CSE585,None,None,Monsoon
,Computer Aided Drug Design,CADD,BIO561,None,None,Winter
,Communication Skills,COM,COM101,None,None,Monsoon
,Technical Communication,TCOM,COM301A,None,None,Monsoon
,Introduction to Programming,IP,CSE101,None,None,Monsoon
,Data Structures & Algorithms,DSA,CSE102,CSE101,None,Winter
,Computer Organization,CO,CSE112,ECE111,None,Winter
,Discrete Mathematics,DM,CSE121,None,MTH210,Monsoon
,Introduction to Intelligent Systems,IIS,CSE140,IntroductiontoProgramming[CSE101],None,Winter
,Advanced Programming,AP,CSE201,"CSE101,CSE102",None,Monsoon
,Fundamentals of Database Management System,DBMS,CSE202,CSE102,None,Winter
,Algorithm Design and Analysis,ADA,CSE222,CSE102,None,Winter
,Algorithm Design and Analysis,ALD,CSE223,CSE102,None,Winter
,Operating Systems,OS,CSE231,CSE102,None,Monsoon
,Computer Networks,CN,CSE232,"CSE101,CSE231,CSE222",None,Monsoon
,Network Administration,NAD,CSE233,None,None,Winter
,Modern Algorithm Design,MAD,CSE319/CSE519,CSE222,None,Monsoon
,Advanced Algorithms,AA,CSE320/CSE520,CSE102,None,Monsoon
,Theory of Computation,ToC,CSE322,CSE121orMTH210,None,Winter
,Computer Graphics,CG,CSE333/CSE533,CSE101,None,Monsoon
,Digital Image Processing,DIP,CSE340/CSE540/ECE340,"MTH100,MTH201",None,Monsoon
,Statistical Machine Learning,SML,CSE342/CSE542/ECE356/ECE556,"CSE101,MTH201",PatternRecognition,Winter
,Computer Vision,CV,CSE344/CSE544/ECE344/ECE544,MTH100,None,Winter
,Foundations of Computer Security,FCS,CSE345/CSE545,None,None,Monsoon
,Network Security,NSC,CSE350/CSE550,None,None,Monsoon
,Networks and System Security II,NSS-II,CSE354/CSE554,"CSE231,CSE232",None,Winter
,Complexity Theory,CMPT,CSE421/CSE621,"CSE102,MTH201,CSE322,CSE121",None,Monsoon
